date,agriculture,airport,apartment,architect,atm,bank,bankruptcy,beach,budget,building_materials,bus,business_registration,car,central_bank,clothing,construction,consumer_confidence,cost_of_living,credit_card,crop,currency_depreciation,debt,drought,electricity_consumption,entrepreneurship,exchange_rate,export,farming,fertilizer,finance_company,flight,food_delivery,food_price,foreign_employment,foreign_investment,fuel,furniture,gas_price,gold_price,government_jobs,grocery,harvest,holiday,hotel,hotel_occupancy,house_for_sale,housing_loan,imf,import
2008-01-01,67,38,0,70,0,72,0,58,39,0,9,0,46,37,29,66,0,0,25,0,0,0,0,0,0,21,64,0,0,0,21,0,0,0,0,1,55,0,0,0,0,0,81,84,0,0,0,0,54
2008-02-01,94,35,75,76,0,67,0,54,42,0,13,0,42,45,44,89,0,0,0,0,0,0,0,0,0,34,83,66,0,0,22,0,0,0,0,2,66,0,0,0,0,0,47,77,0,0,0,0,59
2008-03-01,88,34,0,0,0,68,0,55,33,0,17,0,43,37,41,100,0,0,35,0,0,0,0,0,0,30,69,0,98,0,12,0,0,0,0,2,71,0,0,0,0,0,78,81,0,0,0,0,46
2008-04-01,100,43,84,100,0,69,0,56,26,0,12,0,45,39,40,80,0,100,22,0,0,0,0,0,0,42,80,0,0,100,25,0,0,0,0,1,81,0,7,0,0,0,86,88,0,0,0,0,54
2008-05-01,83,35,92,61,0,66,0,53,36,0,11,0,50,36,20,88,0,0,26,0,0,0,0,0,0,30,91,62,0,0,15,0,0,0,0,3,71,0,7,0,0,0,85,69,0,0,0,0,59
2008-06-01,88,39,0,0,53,61,0,47,24,0,16,0,47,27,25,85,0,0,19,88,0,80,0,0,0,25,100,52,0,0,20,0,0,0,0,3,53,0,0,0,0,0,69,75,0,0,0,0,50
2008-07-01,79,33,85,47,100,67,0,67,22,0,14,0,48,33,33,92,0,84,29,0,0,84,0,0,0,29,79,0,0,81,23,0,0,0,0,2,65,0,0,0,0,0,84,81,0,0,0,0,64
2008-08-01,70,36,0,0,0,60,0,54,32,0,11,0,46,34,33,71,0,99,33,75,0,66,0,0,0,45,87,0,0,0,19,0,0,61,0,2,67,0,0,0,0,0,84,75,0,0,0,0,32
2008-09-01,74,32,0,62,47,71,0,46,27,0,10,0,43,42,27,81,0,97,30,0,0,0,0,0,0,33,65,64,0,0,18,0,0,0,0,2,48,0,0,0,0,0,69,71,0,0,0,0,58
2008-10-01,73,28,96,49,43,70,0,48,22,0,11,0,44,48,30,80,0,71,23,0,0,0,0,0,0,45,76,0,0,0,18,0,0,0,0,2,33,0,6,0,0,0,58,72,0,0,0,0,59
2008-11-01,63,30,65,0,0,64,0,51,83,0,11,0,38,46,29,79,0,0,26,0,0,0,0,0,0,56,65,34,0,0,18,0,0,47,0,1,49,0,7,0,0,0,69,66,0,0,0,0,49
2008-12-01,66,34,48,0,0,68,0,57,30,0,13,0,44,43,31,59,0,0,36,53,0,0,0,0,0,54,49,0,0,0,20,0,0,0,0,2,50,0,4,0,0,0,100,78,0,0,0,0,57
2009-01-01,63,26,39,0,49,65,0,47,26,0,13,0,39,47,28,69,0,0,32,61,0,0,0,0,0,35,65,0,0,0,17,0,0,37,0,1,48,0,0,15,0,0,41,60,0,18,0,0,50
2009-02-01,78,27,0,66,66,67,0,51,17,0,10,0,39,44,36,58,0,0,28,0,0,0,0,0,0,36,85,43,0,0,19,0,0,43,0,1,52,0,4,0,0,66,62,67,0,0,0,0,55
2009-03-01,80,27,63,47,47,66,0,55,20,0,13,0,41,44,35,67,0,0,32,45,0,66,0,0,0,44,66,0,0,78,16,0,0,45,0,1,53,0,4,0,0,72,66,66,0,0,0,57,48
2009-04-01,53,31,59,0,44,76,0,76,22,0,12,0,44,48,42,60,0,0,19,55,0,0,0,0,0,41,72,40,0,76,21,0,0,60,0,1,47,0,0,16,0,0,71,74,0,18,0,38,52
2009-05-01,68,26,37,0,44,67,0,65,7,0,9,0,41,47,38,76,0,0,25,66,0,0,0,0,0,39,84,56,0,0,18,0,0,33,0,1,29,0,0,0,0,0,59,56,0,0,0,49,48
2009-06-01,90,25,0,0,45,84,0,66,21,0,12,100,44,54,39,67,0,0,22,70,0,0,0,0,0,29,80,49,56,55,25,0,0,38,0,1,49,0,0,0,0,0,71,73,0,16,0,37,44
2009-07-01,83,33,36,36,48,100,0,90,22,0,12,0,48,100,40,71,0,0,20,40,0,0,0,0,0,28,67,47,76,68,20,0,0,50,0,1,57,0,4,0,0,55,61,82,0,23,0,100,39
2009-08-01,86,35,71,0,46,73,0,96,18,0,15,0,50,47,44,69,0,0,19,42,0,0,0,0,54,32,55,33,53,0,17,0,0,40,0,1,51,0,4,0,0,0,71,89,0,19,0,63,56
2009-09-01,82,36,35,58,34,75,0,100,25,0,15,0,52,46,34,74,0,0,23,0,0,46,0,0,0,31,66,45,64,60,18,0,0,48,0,1,55,0,3,0,0,0,72,79,0,24,0,50,52
2009-10-01,74,33,0,34,28,74,0,66,19,0,15,0,52,40,46,77,0,0,26,0,0,0,0,0,0,27,64,32,0,49,19,0,0,73,0,1,59,0,4,22,11,59,52,80,0,21,0,0,56
2009-11-01,66,42,44,35,29,72,0,68,17,0,15,0,48,38,30,64,0,0,13,0,0,0,0,0,0,31,70,29,0,66,18,0,0,48,0,1,60,0,5,13,0,0,73,77,0,20,0,0,52
2009-12-01,53,33,64,27,0,72,0,76,20,0,12,0,58,39,32,60,0,0,22,0,0,0,0,0,0,27,42,40,39,52,22,0,0,60,0,1,86,0,5,12,0,48,78,82,0,27,0,0,49
2010-01-01,56,37,0,31,36,62,0,61,14,0,13,0,53,33,47,55,0,0,22,0,0,37,0,0,0,26,60,39,0,0,21,0,0,61,0,1,57,0,6,11,0,0,62,69,0,19,0,0,47
2010-02-01,100,35,0,49,51,78,0,67,19,0,13,0,60,40,56,78,0,0,30,68,0,60,0,0,76,34,64,49,0,61,18,0,0,54,0,1,68,0,5,25,0,0,75,80,0,26,0,48,54
2010-03-01,96,35,0,48,0,73,0,62,30,0,15,0,64,44,40,75,0,0,29,78,0,0,0,0,100,33,75,72,0,0,20,0,0,70,0,1,99,0,5,0,0,0,69,81,0,26,0,0,69
2010-04-01,72,48,63,0,0,70,0,65,27,0,16,0,68,37,44,51,0,0,28,62,0,0,0,0,0,34,58,71,0,0,28,0,0,88,0,1,65,0,7,0,0,100,93,80,0,0,0,0,57
2010-05-01,84,43,57,0,0,89,0,57,24,0,17,0,69,41,36,67,0,0,18,0,0,84,0,0,0,46,80,100,0,0,20,0,0,53,0,1,70,0,5,25,0,0,76,82,0,0,0,0,72
2010-06-01,82,38,0,0,0,78,0,60,36,0,16,0,100,39,44,75,0,0,22,0,0,0,0,0,0,37,83,59,0,0,15,0,0,77,0,1,67,0,0,24,0,0,64,82,0,29,0,0,100
2010-07-01,79,37,0,36,0,76,0,67,28,0,15,0,86,40,42,71,0,0,23,58,0,0,0,0,0,21,71,51,0,0,16,0,0,35,0,1,59,0,5,15,0,57,55,82,0,31,0,55,62
2010-08-01,78,37,0,39,0,86,0,64,22,0,15,0,87,45,40,54,0,0,23,0,0,0,0,0,0,23,47,50,0,0,20,0,0,50,0,1,62,0,4,16,0,0,78,88,0,24,0,0,60
2010-09-01,46,37,0,0,57,86,0,67,14,0,17,0,75,37,24,73,0,0,15,0,0,0,0,0,0,27,54,0,0,0,14,0,0,56,0,1,64,0,5,24,0,0,95,83,0,28,0,32,51
2010-10-01,74,40,49,0,0,82,0,64,15,0,17,0,71,39,35,46,0,0,23,0,0,0,0,0,0,21,50,39,62,62,15,0,0,49,0,1,63,0,9,18,0,0,57,86,0,30,0,0,54
2010-11-01,81,40,0,40,0,80,0,58,100,0,19,0,64,41,24,75,0,0,26,56,0,0,0,0,0,26,64,33,0,0,15,0,0,53,0,2,84,0,7,27,0,0,88,93,100,23,0,0,55
2010-12-01,70,51,68,29,41,83,0,63,34,0,15,0,72,39,39,55,0,0,28,0,0,0,0,0,54,32,54,69,49,50,21,0,0,29,0,1,63,0,6,19,0,0,92,84,0,22,0,0,71
2011-01-01,51,34,33,30,36,58,0,60,22,100,16,0,69,26,21,52,0,32,22,29,0,33,0,0,0,22,51,36,28,57,17,0,0,39,0,1,47,0,5,20,0,26,57,71,0,22,49,0,47
2011-02-01,56,28,35,41,40,61,0,53,20,0,15,0,64,27,27,57,0,0,18,30,0,26,0,0,34,22,42,41,19,26,17,0,0,30,0,1,53,0,6,25,0,21,53,66,0,30,0,18,57
2011-03-01,53,28,39,29,34,59,0,44,16,0,14,0,59,27,30,53,0,21,22,32,0,31,0,0,24,25,47,50,24,47,18,0,24,33,0,1,64,0,5,18,0,22,46,61,0,24,0,11,40
2011-04-01,47,29,38,29,34,61,0,60,17,0,15,0,70,25,28,45,0,21,23,25,0,18,0,0,0,29,40,33,22,37,16,0,0,31,0,1,55,0,6,19,0,0,69,71,0,24,34,14,49
2011-05-01,49,27,43,26,23,61,0,56,18,0,15,0,63,26,20,54,0,19,23,31,0,31,0,0,21,24,43,31,29,38,14,0,0,41,0,1,52,0,9,20,0,0,53,64,0,29,0,35,50
2011-06-01,50,31,37,33,36,64,0,54,16,0,18,38,65,25,26,57,0,18,21,41,0,37,0,0,39,26,41,34,24,41,16,0,0,43,0,1,60,0,6,26,0,20,53,64,0,30,47,19,51
2011-07-01,42,27,43,25,38,62,0,59,19,0,19,0,64,22,29,55,0,22,29,21,0,49,0,0,16,28,46,30,22,64,16,0,0,39,0,1,54,0,7,20,0,29,47,66,0,38,39,19,45
2011-08-01,50,30,32,35,43,67,0,64,21,0,18,33,76,24,26,59,0,22,25,27,0,46,0,0,26,26,44,35,28,35,17,2,26,44,0,1,63,0,15,17,3,38,60,71,0,38,43,13,44
2011-09-01,53,30,28,23,42,70,0,61,21,0,18,0,70,24,33,57,0,19,21,31,0,45,42,0,18,28,41,34,31,37,18,2,17,55,0,1,64,0,18,18,3,0,48,61,0,38,35,16,47
2011-10-01,49,31,33,22,44,72,0,75,22,0,18,0,68,24,26,54,0,17,23,42,0,35,83,0,19,20,39,34,20,38,16,0,0,88,0,1,64,0,15,11,0,12,51,56,0,36,0,19,37
2011-11-01,43,28,45,20,40,76,100,62,72,0,17,0,63,23,28,48,0,15,26,31,0,47,55,0,23,24,42,37,19,20,14,0,0,42,0,1,63,0,13,18,0,18,62,61,0,38,0,10,40
