date,taxi
2008-01-01,0
2008-02-01,0
2008-03-01,62
2008-04-01,0
2008-05-01,55
2008-06-01,0
2008-07-01,0
2008-08-01,0
2008-09-01,0
2008-10-01,34
2008-11-01,24
2008-12-01,34
2009-01-01,31
2009-02-01,22
2009-03-01,0
2009-04-01,37
2009-05-01,30
2009-06-01,31
2009-07-01,36
2009-08-01,43
2009-09-01,38
2009-10-01,33
2009-11-01,26
2009-12-01,41
2010-01-01,36
2010-02-01,38
2010-03-01,0
2010-04-01,48
2010-05-01,29
2010-06-01,54
2010-07-01,27
2010-08-01,32
2010-09-01,32
2010-10-01,35
2010-11-01,42
2010-12-01,60
2011-01-01,40
2011-02-01,38
2011-03-01,38
2011-04-01,55
2011-05-01,51
2011-06-01,77
2011-07-01,72
2011-08-01,77
2011-09-01,69
2011-10-01,66
2011-11-01,99
2011-12-01,94
2012-01-01,97
2012-02-01,84
2012-03-01,73
2012-04-01,64
2012-05-01,64
2012-06-01,57
2012-07-01,59
2012-08-01,58
2012-09-01,54
2012-10-01,50
2012-11-01,49
2012-12-01,57
2013-01-01,58
2013-02-01,48
2013-03-01,56
2013-04-01,60
2013-05-01,53
2013-06-01,46
2013-07-01,53
2013-08-01,51
2013-09-01,54
2013-10-01,52
2013-11-01,56
2013-12-01,64
2014-01-01,65
2014-02-01,57
2014-03-01,57
2014-04-01,65
2014-05-01,56
2014-06-01,63
2014-07-01,63
2014-08-01,72
2014-09-01,67
2014-10-01,68
2014-11-01,74
2014-12-01,75
2015-01-01,74
2015-02-01,72
2015-03-01,74
2015-04-01,81
2015-05-01,75
2015-06-01,74
2015-07-01,80
2015-08-01,86
2015-09-01,82
2015-10-01,77
2015-11-01,80
2015-12-01,100
2016-01-01,89
2016-02-01,78
2016-03-01,81
2016-04-01,99
2016-05-01,91
2016-06-01,89
2016-07-01,84
2016-08-01,83
2016-09-01,83
2016-10-01,78
2016-11-01,81
2016-12-01,96
2017-01-01,87
2017-02-01,79
2017-03-01,79
2017-04-01,85
2017-05-01,80
2017-06-01,77
2017-07-01,83
2017-08-01,83
2017-09-01,79
2017-10-01,76
2017-11-01,82
2017-12-01,90
2018-01-01,79
2018-02-01,80
2018-03-01,77
2018-04-01,84
2018-05-01,79
2018-06-01,74
2018-07-01,90
2018-08-01,95
2018-09-01,78
2018-10-01,81
2018-11-01,80
2018-12-01,89
2019-01-01,89
2019-02-01,84
2019-03-01,87
2019-04-01,86
2019-05-01,73
2019-06-01,75
2019-07-01,76
2019-08-01,88
2019-09-01,87
2019-10-01,72
2019-11-01,74
2019-12-01,88
2020-01-01,84
2020-02-01,77
2020-03-01,58
2020-04-01,35
2020-05-01,37
2020-06-01,45
2020-07-01,46
2020-08-01,48
2020-09-01,48
2020-10-01,37
2020-11-01,35
2020-12-01,40
2021-01-01,42
2021-02-01,40
2021-03-01,44
2021-04-01,52
2021-05-01,40
2021-06-01,40
2021-07-01,46
2021-08-01,44
2021-09-01,43
2021-10-01,46
2021-11-01,46
2021-12-01,51
2022-01-01,48
2022-02-01,49
2022-03-01,49
2022-04-01,42
2022-05-01,36
2022-06-01,39
2022-07-01,38
2022-08-01,37
2022-09-01,33
2022-10-01,37
2022-11-01,45
2022-12-01,39
2023-01-01,41
2023-02-01,43
2023-03-01,42
2023-04-01,51
2023-05-01,44
2023-06-01,41
2023-07-01,50
2023-08-01,50
2023-09-01,46
2023-10-01,37
2023-11-01,43
2023-12-01,45
2024-01-01,48
2024-02-01,44
2024-03-01,41
2024-04-01,39
2024-05-01,36
2024-06-01,32
2024-07-01,39
2024-08-01,44
2024-09-01,33
2024-10-01,39
2024-11-01,36
2024-12-01,38
2025-01-01,41
2025-02-01,41
2025-03-01,36
2025-04-01,40
2025-05-01,35
2025-06-01,31
2025-07-01,35
2025-08-01,38
2025-09-01,34
2025-10-01,33
2025-11-01,36
