date,Bentota_hotel,CV_format,Colombo_hotel,Daraz_Sri_Lanka,Ella_Sri_Lanka,Govt_job_exam,Gulf_jobs,SLT_jobs,SLTB_jobs,Shell_price_Sri_Lanka,Sigiriya_ticket,Singer_Sri_Lanka,Softlogic,Sri_Lanka_hotels,Sri_Lanka_visa,TV_price_Sri_Lanka
2015-01-01,60,47,61,0,31,0,71,78,0,0,0,35,34,72,56,32
2015-02-01,66,44,61,0,33,0,63,0,0,0,0,41,35,77,61,28
2015-03-01,69,49,57,0,31,0,72,0,0,0,0,43,38,69,58,31
2015-04-01,100,34,60,0,29,0,67,0,0,0,0,37,42,95,59,34
2015-05-01,63,44,59,0,19,0,88,0,0,0,0,30,35,67,57,29
2015-06-01,78,45,61,0,16,0,50,0,0,0,0,41,34,65,60,27
2015-07-01,81,42,57,0,31,0,49,0,0,0,0,36,29,71,48,27
2015-08-01,80,40,72,0,36,0,48,100,0,0,0,30,26,83,52,33
2015-09-01,70,61,69,0,28,0,100,62,0,0,0,31,28,62,54,30
2015-10-01,69,44,61,0,23,0,37,89,0,0,0,34,32,63,54,32
2015-11-01,68,44,60,0,25,0,0,0,0,0,0,47,31,65,54,34
2015-12-01,85,45,80,0,43,0,62,0,0,0,0,54,41,100,48,36
2016-01-01,61,50,66,0,46,0,55,0,0,0,0,28,23,71,49,27
2016-02-01,56,39,62,0,43,0,56,0,0,42,0,23,25,63,54,25
2016-03-01,53,34,62,0,42,0,0,81,0,0,0,36,29,65,58,31
2016-04-01,72,29,58,0,41,0,41,0,0,0,0,43,32,79,54,35
2016-05-01,53,27,55,0,30,0,43,0,0,0,0,31,23,58,55,24
2016-06-01,50,38,56,0,23,0,47,0,0,0,0,30,29,56,54,24
2016-07-01,55,31,64,0,40,0,36,0,0,0,0,22,24,58,49,27
2016-08-01,63,34,57,0,51,0,25,58,0,0,0,29,26,63,53,28
2016-09-01,61,45,52,0,40,0,45,0,0,0,0,31,27,61,51,27
2016-10-01,44,38,56,0,37,0,26,0,0,0,0,26,22,50,51,24
2016-11-01,61,44,60,0,41,0,0,0,0,0,0,26,28,58,52,30
2016-12-01,60,37,69,1,55,0,54,61,0,0,0,29,34,74,46,30
2017-01-01,53,55,73,3,69,0,51,51,0,0,0,24,24,57,53,27
2017-02-01,49,35,63,2,63,0,30,0,0,0,0,29,22,58,67,25
2017-03-01,54,35,57,3,54,0,51,83,0,0,0,31,26,56,65,29
2017-04-01,62,27,62,0,60,0,40,0,0,0,0,32,30,69,55,39
2017-05-01,39,38,62,1,34,0,35,0,0,0,0,24,23,56,56,25
2017-06-01,31,33,65,1,31,0,0,0,0,0,0,26,28,50,56,29
2017-07-01,33,36,64,3,54,0,33,0,0,0,0,26,29,62,53,27
2017-08-01,64,42,72,3,69,0,37,46,0,0,0,26,31,79,63,33
2017-09-01,42,50,67,4,55,0,0,0,0,0,0,32,33,60,56,33
2017-10-01,47,43,66,5,46,0,29,46,0,0,0,29,34,54,60,32
2017-11-01,41,49,74,10,50,0,37,51,0,0,0,33,42,69,59,34
2017-12-01,52,34,89,7,67,0,33,0,0,0,0,42,50,75,49,49
2018-01-01,47,53,90,7,74,0,32,55,0,0,53,29,33,58,66,27
2018-02-01,48,39,77,6,78,0,35,0,0,0,0,30,33,59,64,30
2018-03-01,43,40,72,7,78,0,34,0,0,0,0,40,46,57,68,35
2018-04-01,59,32,72,8,71,0,27,0,0,0,0,46,52,69,61,45
2018-05-01,42,44,78,8,43,0,46,0,0,0,0,33,40,48,63,31
2018-06-01,32,41,79,8,46,0,43,0,0,0,0,39,37,49,57,37
2018-07-01,50,47,88,9,77,0,33,54,0,0,0,35,38,66,73,36
2018-08-01,60,42,92,10,91,0,29,0,0,0,0,36,38,82,66,34
2018-09-01,47,53,78,10,71,0,33,49,0,37,0,33,38,55,64,30
2018-10-01,35,41,68,14,46,0,0,0,0,0,0,32,39,45,69,38
2018-11-01,42,37,74,23,61,0,0,0,0,45,0,38,51,53,65,39
2018-12-01,60,34,91,16,83,0,0,0,0,37,59,41,60,72,61,43
2019-01-01,47,56,91,16,100,0,36,58,0,34,0,37,45,54,69,32
2019-02-01,40,50,82,20,97,0,0,0,0,0,0,35,40,54,68,30
2019-03-01,46,40,71,25,84,0,0,0,0,0,0,44,48,54,70,32
2019-04-01,37,26,75,25,74,0,0,0,0,0,0,43,46,66,64,41
2019-05-01,35,40,49,22,23,0,31,0,0,0,0,39,50,53,86,42
