date,Ella_Sri_Lanka
2015-01-01,31
2015-02-01,33
2015-03-01,31
2015-04-01,29
2015-05-01,19
2015-06-01,16
2015-07-01,31
2015-08-01,36
2015-09-01,28
2015-10-01,23
2015-11-01,25
2015-12-01,43
2016-01-01,46
2016-02-01,43
2016-03-01,42
2016-04-01,41
2016-05-01,30
2016-06-01,23
2016-07-01,40
2016-08-01,51
2016-09-01,40
2016-10-01,37
2016-11-01,41
2016-12-01,55
2017-01-01,69
2017-02-01,63
2017-03-01,54
2017-04-01,60
2017-05-01,34
2017-06-01,31
2017-07-01,54
2017-08-01,69
2017-09-01,55
2017-10-01,46
2017-11-01,50
2017-12-01,67
2018-01-01,74
2018-02-01,78
2018-03-01,78
2018-04-01,71
2018-05-01,43
2018-06-01,46
2018-07-01,77
2018-08-01,91
2018-09-01,71
2018-10-01,46
2018-11-01,61
2018-12-01,83
2019-01-01,100
2019-02-01,97
2019-03-01,84
2019-04-01,74
2019-05-01,23
2019-06-01,26
2019-07-01,53
2019-08-01,76
2019-09-01,60
2019-10-01,39
2019-11-01,54
2019-12-01,73
2020-01-01,79
2020-02-01,79
2020-03-01,46
2020-04-01,9
2020-05-01,11
2020-06-01,26
2020-07-01,22
2020-08-01,25
2020-09-01,20
2020-10-01,9
2020-11-01,6
2020-12-01,9
2021-01-01,13
2021-02-01,15
2021-03-01,16
2021-04-01,21
2021-05-01,4
2021-06-01,3
2021-07-01,6
2021-08-01,5
2021-09-01,5
2021-10-01,11
2021-11-01,14
2021-12-01,27
2022-01-01,39
2022-02-01,39
2022-03-01,39
2022-04-01,28
2022-05-01,15
2022-06-01,14
2022-07-01,14
2022-08-01,24
2022-09-01,21
2022-10-01,19
2022-11-01,18
2022-12-01,24
2023-01-01,28
2023-02-01,32
2023-03-01,32
2023-04-01,32
2023-05-01,24
2023-06-01,25
2023-07-01,36
2023-08-01,42
2023-09-01,32
2023-10-01,24
2023-11-01,30
2023-12-01,43
2024-01-01,55
2024-02-01,49
2024-03-01,49
2024-04-01,44
2024-05-01,29
2024-06-01,25
2024-07-01,40
2024-08-01,46
2024-09-01,37
2024-10-01,33
2024-11-01,42
2024-12-01,45
2025-01-01,64
2025-02-01,57
2025-03-01,49
2025-04-01,47
2025-05-01,27
2025-06-01,23
2025-07-01,46
2025-08-01,54
2025-09-01,42
2025-10-01,34
2025-11-01,48
