date,TV_price_Sri_Lanka
2015-01-01,32
2015-02-01,28
2015-03-01,31
2015-04-01,34
2015-05-01,29
2015-06-01,27
2015-07-01,27
2015-08-01,33
2015-09-01,30
2015-10-01,32
2015-11-01,34
2015-12-01,36
2016-01-01,27
2016-02-01,25
2016-03-01,31
2016-04-01,35
2016-05-01,24
2016-06-01,24
2016-07-01,27
2016-08-01,28
2016-09-01,27
2016-10-01,24
2016-11-01,30
2016-12-01,30
2017-01-01,27
2017-02-01,25
2017-03-01,29
2017-04-01,39
2017-05-01,25
2017-06-01,29
2017-07-01,27
2017-08-01,33
2017-09-01,33
2017-10-01,32
2017-11-01,34
2017-12-01,49
2018-01-01,27
2018-02-01,30
2018-03-01,35
2018-04-01,45
2018-05-01,31
2018-06-01,37
2018-07-01,36
2018-08-01,34
2018-09-01,30
2018-10-01,38
2018-11-01,39
2018-12-01,43
2019-01-01,32
2019-02-01,30
2019-03-01,32
2019-04-01,41
2019-05-01,42
2019-06-01,41
2019-07-01,37
2019-08-01,38
2019-09-01,43
2019-10-01,43
2019-11-01,59
2019-12-01,55
2020-01-01,37
2020-02-01,36
2020-03-01,38
2020-04-01,47
2020-05-01,63
2020-06-01,60
2020-07-01,55
2020-08-01,51
2020-09-01,52
2020-10-01,64
2020-11-01,77
2020-12-01,100
2021-01-01,63
2021-02-01,59
2021-03-01,61
2021-04-01,65
2021-05-01,62
2021-06-01,67
2021-07-01,74
2021-08-01,68
2021-09-01,84
2021-10-01,71
2021-11-01,70
2021-12-01,73
2022-01-01,53
2022-02-01,55
2022-03-01,57
2022-04-01,62
2022-05-01,57
2022-06-01,52
2022-07-01,50
2022-08-01,54
2022-09-01,50
2022-10-01,53
2022-11-01,55
2022-12-01,63
2023-01-01,48
2023-02-01,54
2023-03-01,49
2023-04-01,59
2023-05-01,51
2023-06-01,54
2023-07-01,60
2023-08-01,50
2023-09-01,64
2023-10-01,68
2023-11-01,71
2023-12-01,89
2024-01-01,59
2024-02-01,49
2024-03-01,52
2024-04-01,60
2024-05-01,56
2024-06-01,66
2024-07-01,56
2024-08-01,60
2024-09-01,92
2024-10-01,59
2024-11-01,70
2024-12-01,70
2025-01-01,57
2025-02-01,49
2025-03-01,57
2025-04-01,65
2025-05-01,46
2025-06-01,51
2025-07-01,48
2025-08-01,51
2025-09-01,50
2025-10-01,52
2025-11-01,68
