date,Uber_Sri_Lanka
2015-01-01,0
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,13
2015-11-01,11
2015-12-01,13
2016-01-01,13
2016-02-01,11
2016-03-01,10
2016-04-01,11
2016-05-01,17
2016-06-01,11
2016-07-01,14
2016-08-01,18
2016-09-01,23
2016-10-01,27
2016-11-01,28
2016-12-01,38
2017-01-01,40
2017-02-01,35
2017-03-01,30
2017-04-01,30
2017-05-01,36
2017-06-01,32
2017-07-01,35
2017-08-01,31
2017-09-01,30
2017-10-01,41
2017-11-01,42
2017-12-01,39
2018-01-01,34
2018-02-01,40
2018-03-01,39
2018-04-01,34
2018-05-01,44
2018-06-01,44
2018-07-01,45
2018-08-01,46
2018-09-01,60
2018-10-01,60
2018-11-01,66
2018-12-01,73
2019-01-01,89
2019-02-01,86
2019-03-01,76
2019-04-01,69
2019-05-01,81
2019-06-01,78
2019-07-01,100
2019-08-01,96
2019-09-01,97
2019-10-01,89
2019-11-01,88
2019-12-01,82
2020-01-01,74
2020-02-01,78
2020-03-01,59
2020-04-01,20
2020-05-01,37
2020-06-01,54
2020-07-01,59
2020-08-01,55
2020-09-01,70
2020-10-01,48
2020-11-01,40
2020-12-01,43
2021-01-01,47
2021-02-01,48
2021-03-01,53
2021-04-01,46
2021-05-01,39
2021-06-01,49
2021-07-01,37
2021-08-01,36
2021-09-01,39
2021-10-01,38
2021-11-01,35
2021-12-01,45
2022-01-01,36
2022-02-01,39
2022-03-01,39
2022-04-01,32
2022-05-01,30
2022-06-01,24
2022-07-01,15
2022-08-01,24
2022-09-01,29
2022-10-01,24
2022-11-01,28
2022-12-01,26
2023-01-01,25
2023-02-01,28
2023-03-01,28
2023-04-01,29
2023-05-01,29
2023-06-01,31
2023-07-01,30
2023-08-01,33
2023-09-01,25
2023-10-01,32
2023-11-01,32
2023-12-01,34
2024-01-01,32
2024-02-01,28
2024-03-01,29
2024-04-01,28
2024-05-01,30
2024-06-01,27
2024-07-01,28
2024-08-01,30
2024-09-01,26
2024-10-01,30
2024-11-01,29
2024-12-01,30
2025-01-01,27
2025-02-01,32
2025-03-01,30
2025-04-01,29
2025-05-01,29
2025-06-01,28
2025-07-01,27
2025-08-01,32
2025-09-01,31
2025-10-01,32
2025-11-01,37
