date,air_ticket_price_Sri_Lanka
2015-01-01,20
2015-02-01,0
2015-03-01,17
2015-04-01,27
2015-05-01,22
2015-06-01,25
2015-07-01,29
2015-08-01,23
2015-09-01,22
2015-10-01,35
2015-11-01,22
2015-12-01,26
2016-01-01,18
2016-02-01,14
2016-03-01,23
2016-04-01,25
2016-05-01,27
2016-06-01,26
2016-07-01,31
2016-08-01,29
2016-09-01,30
2016-10-01,19
2016-11-01,27
2016-12-01,25
2017-01-01,23
2017-02-01,25
2017-03-01,37
2017-04-01,30
2017-05-01,30
2017-06-01,42
2017-07-01,22
2017-08-01,38
2017-09-01,31
2017-10-01,28
2017-11-01,43
2017-12-01,34
2018-01-01,35
2018-02-01,28
2018-03-01,33
2018-04-01,35
2018-05-01,42
2018-06-01,35
2018-07-01,40
2018-08-01,41
2018-09-01,44
2018-10-01,45
2018-11-01,47
2018-12-01,35
2019-01-01,44
2019-02-01,57
2019-03-01,45
2019-04-01,40
2019-05-01,41
2019-06-01,49
2019-07-01,55
2019-08-01,58
2019-09-01,54
2019-10-01,46
2019-11-01,52
2019-12-01,45
2020-01-01,37
2020-02-01,34
2020-03-01,10
2020-04-01,9
2020-05-01,15
2020-06-01,25
2020-07-01,12
2020-08-01,19
2020-09-01,16
2020-10-01,14
2020-11-01,14
2020-12-01,17
2021-01-01,13
2021-02-01,19
2021-03-01,16
2021-04-01,16
2021-05-01,15
2021-06-01,16
2021-07-01,21
2021-08-01,25
2021-09-01,34
2021-10-01,35
2021-11-01,44
2021-12-01,40
2022-01-01,43
2022-02-01,46
2022-03-01,66
2022-04-01,69
2022-05-01,65
2022-06-01,83
2022-07-01,83
2022-08-01,100
2022-09-01,82
2022-10-01,79
2022-11-01,69
2022-12-01,61
2023-01-01,66
2023-02-01,74
2023-03-01,91
2023-04-01,63
2023-05-01,61
2023-06-01,70
2023-07-01,67
2023-08-01,87
2023-09-01,56
2023-10-01,56
2023-11-01,61
2023-12-01,71
2024-01-01,71
2024-02-01,51
2024-03-01,51
2024-04-01,42
2024-05-01,44
2024-06-01,43
2024-07-01,51
2024-08-01,44
2024-09-01,42
2024-10-01,39
2024-11-01,38
2024-12-01,41
2025-01-01,38
2025-02-01,43
2025-03-01,30
2025-04-01,43
2025-05-01,36
2025-06-01,40
2025-07-01,49
2025-08-01,41
2025-09-01,42
2025-10-01,43
2025-11-01,43
2025-12-01,35
