date,construction_cost
2015-01-01,84
2015-02-01,81
2015-03-01,100
2015-04-01,63
2015-05-01,58
2015-06-01,97
2015-07-01,95
2015-08-01,91
2015-09-01,58
2015-10-01,67
2015-11-01,88
2015-12-01,53
2016-01-01,72
2016-02-01,49
2016-03-01,50
2016-04-01,75
2016-05-01,69
2016-06-01,41
2016-07-01,76
2016-08-01,80
2016-09-01,54
2016-10-01,56
2016-11-01,56
2016-12-01,38
2017-01-01,69
2017-02-01,77
2017-03-01,74
2017-04-01,94
2017-05-01,74
2017-06-01,53
2017-07-01,66
2017-08-01,66
2017-09-01,77
2017-10-01,42
2017-11-01,96
2017-12-01,67
2018-01-01,42
2018-02-01,46
2018-03-01,38
2018-04-01,0
2018-05-01,55
2018-06-01,55
2018-07-01,80
2018-08-01,58
2018-09-01,69
2018-10-01,57
2018-11-01,54
2018-12-01,64
2019-01-01,74
2019-02-01,92
2019-03-01,60
2019-04-01,60
2019-05-01,47
2019-06-01,63
2019-07-01,41
2019-08-01,34
2019-09-01,81
2019-10-01,73
2019-11-01,56
2019-12-01,56
2020-01-01,46
2020-02-01,61
2020-03-01,38
2020-04-01,0
2020-05-01,66
2020-06-01,64
2020-07-01,52
2020-08-01,61
2020-09-01,60
2020-10-01,0
2020-11-01,67
2020-12-01,47
2021-01-01,70
2021-02-01,89
2021-03-01,49
2021-04-01,41
2021-05-01,45
2021-06-01,59
2021-07-01,63
2021-08-01,46
2021-09-01,65
2021-10-01,48
2021-11-01,47
2021-12-01,49
2022-01-01,63
2022-02-01,75
2022-03-01,66
2022-04-01,46
2022-05-01,55
2022-06-01,49
2022-07-01,27
2022-08-01,50
2022-09-01,50
2022-10-01,54
2022-11-01,63
2022-12-01,45
2023-01-01,40
2023-02-01,50
2023-03-01,65
2023-04-01,39
2023-05-01,49
2023-06-01,58
2023-07-01,54
2023-08-01,39
2023-09-01,55
2023-10-01,44
2023-11-01,61
2023-12-01,52
2024-01-01,51
2024-02-01,49
2024-03-01,60
2024-04-01,40
2024-05-01,39
2024-06-01,34
2024-07-01,47
2024-08-01,44
2024-09-01,41
2024-10-01,42
2024-11-01,51
2024-12-01,38
2025-01-01,40
2025-02-01,35
2025-03-01,42
2025-04-01,45
2025-05-01,44
2025-06-01,47
2025-07-01,89
2025-08-01,71
2025-09-01,51
2025-10-01,24
2025-11-01,69
