date,housing_loan_Sri_Lanka
2015-01-01,55
2015-02-01,78
2015-03-01,55
2015-04-01,57
2015-05-01,67
2015-06-01,70
2015-07-01,50
2015-08-01,61
2015-09-01,57
2015-10-01,95
2015-11-01,66
2015-12-01,52
2016-01-01,0
2016-02-01,31
2016-03-01,0
2016-04-01,0
2016-05-01,44
2016-06-01,51
2016-07-01,61
2016-08-01,32
2016-09-01,61
2016-10-01,59
2016-11-01,50
2016-12-01,29
2017-01-01,58
2017-02-01,42
2017-03-01,50
2017-04-01,56
2017-05-01,48
2017-06-01,52
2017-07-01,56
2017-08-01,46
2017-09-01,67
2017-10-01,57
2017-11-01,47
2017-12-01,37
2018-01-01,58
2018-02-01,87
2018-03-01,59
2018-04-01,85
2018-05-01,90
2018-06-01,65
2018-07-01,47
2018-08-01,60
2018-09-01,61
2018-10-01,64
2018-11-01,38
2018-12-01,39
2019-01-01,49
2019-02-01,85
2019-03-01,100
2019-04-01,39
2019-05-01,66
2019-06-01,49
2019-07-01,79
2019-08-01,85
2019-09-01,48
2019-10-01,53
2019-11-01,51
2019-12-01,49
2020-01-01,94
2020-02-01,82
2020-03-01,35
2020-04-01,30
2020-05-01,63
2020-06-01,94
2020-07-01,82
2020-08-01,78
2020-09-01,71
2020-10-01,63
2020-11-01,47
2020-12-01,89
2021-01-01,90
2021-02-01,81
2021-03-01,47
2021-04-01,44
2021-05-01,48
2021-06-01,49
2021-07-01,46
2021-08-01,58
2021-09-01,0
2021-10-01,41
2021-11-01,54
2021-12-01,39
2022-01-01,43
2022-02-01,58
2022-03-01,49
2022-04-01,41
2022-05-01,41
2022-06-01,32
2022-07-01,22
2022-08-01,35
2022-09-01,34
2022-10-01,52
2022-11-01,37
2022-12-01,22
2023-01-01,36
2023-02-01,24
2023-03-01,25
2023-04-01,35
2023-05-01,52
2023-06-01,55
2023-07-01,50
2023-08-01,51
2023-09-01,49
2023-10-01,28
2023-11-01,39
2023-12-01,36
2024-01-01,48
2024-02-01,45
2024-03-01,27
2024-04-01,57
2024-05-01,37
2024-06-01,39
2024-07-01,30
2024-08-01,30
2024-09-01,31
2024-10-01,31
2024-11-01,35
2024-12-01,48
2025-01-01,40
2025-02-01,46
2025-03-01,38
2025-04-01,56
2025-05-01,41
2025-06-01,42
2025-07-01,41
2025-08-01,45
2025-09-01,45
2025-10-01,59
2025-11-01,36
