date,job_application
2015-01-01,45
2015-02-01,44
2015-03-01,43
2015-04-01,45
2015-05-01,39
2015-06-01,43
2015-07-01,39
2015-08-01,30
2015-09-01,56
2015-10-01,40
2015-11-01,45
2015-12-01,42
2016-01-01,59
2016-02-01,38
2016-03-01,33
2016-04-01,30
2016-05-01,35
2016-06-01,45
2016-07-01,36
2016-08-01,33
2016-09-01,46
2016-10-01,32
2016-11-01,53
2016-12-01,26
2017-01-01,53
2017-02-01,41
2017-03-01,37
2017-04-01,30
2017-05-01,30
2017-06-01,38
2017-07-01,32
2017-08-01,35
2017-09-01,50
2017-10-01,33
2017-11-01,41
2017-12-01,32
2018-01-01,48
2018-02-01,39
2018-03-01,36
2018-04-01,36
2018-05-01,43
2018-06-01,33
2018-07-01,44
2018-08-01,55
2018-09-01,53
2018-10-01,49
2018-11-01,39
2018-12-01,30
2019-01-01,67
2019-02-01,53
2019-03-01,53
2019-04-01,37
2019-05-01,52
2019-06-01,55
2019-07-01,62
2019-08-01,50
2019-09-01,65
2019-10-01,35
2019-11-01,35
2019-12-01,51
2020-01-01,73
2020-02-01,100
2020-03-01,32
2020-04-01,16
2020-05-01,26
2020-06-01,38
2020-07-01,37
2020-08-01,56
2020-09-01,77
2020-10-01,39
2020-11-01,53
2020-12-01,49
2021-01-01,63
2021-02-01,50
2021-03-01,46
2021-04-01,30
2021-05-01,67
2021-06-01,43
2021-07-01,60
2021-08-01,49
2021-09-01,30
2021-10-01,30
2021-11-01,35
2021-12-01,29
2022-01-01,45
2022-02-01,50
2022-03-01,55
2022-04-01,30
2022-05-01,43
2022-06-01,53
2022-07-01,38
2022-08-01,52
2022-09-01,53
2022-10-01,48
2022-11-01,46
2022-12-01,45
2023-01-01,52
2023-02-01,54
2023-03-01,49
2023-04-01,32
2023-05-01,42
2023-06-01,43
2023-07-01,37
2023-08-01,42
2023-09-01,44
2023-10-01,44
2023-11-01,43
2023-12-01,50
2024-01-01,46
2024-02-01,43
2024-03-01,39
2024-04-01,34
2024-05-01,31
2024-06-01,42
2024-07-01,37
2024-08-01,27
2024-09-01,24
2024-10-01,28
2024-11-01,28
2024-12-01,30
2025-01-01,37
2025-02-01,35
2025-03-01,25
2025-04-01,23
2025-05-01,36
2025-06-01,45
2025-07-01,41
2025-08-01,28
2025-09-01,29
2025-10-01,27
2025-11-01,32
