date,refrigerator_price
2015-01-01,0
2015-02-01,13
2015-03-01,22
2015-04-01,23
2015-05-01,18
2015-06-01,20
2015-07-01,17
2015-08-01,15
2015-09-01,24
2015-10-01,14
2015-11-01,22
2015-12-01,35
2016-01-01,15
2016-02-01,25
2016-03-01,28
2016-04-01,35
2016-05-01,29
2016-06-01,29
2016-07-01,26
2016-08-01,29
2016-09-01,20
2016-10-01,26
2016-11-01,21
2016-12-01,24
2017-01-01,20
2017-02-01,17
2017-03-01,23
2017-04-01,31
2017-05-01,33
2017-06-01,29
2017-07-01,23
2017-08-01,24
2017-09-01,31
2017-10-01,29
2017-11-01,26
2017-12-01,37
2018-01-01,26
2018-02-01,28
2018-03-01,43
2018-04-01,42
2018-05-01,40
2018-06-01,35
2018-07-01,40
2018-08-01,26
2018-09-01,36
2018-10-01,32
2018-11-01,32
2018-12-01,48
2019-01-01,24
2019-02-01,32
2019-03-01,42
2019-04-01,36
2019-05-01,33
2019-06-01,32
2019-07-01,31
2019-08-01,26
2019-09-01,43
2019-10-01,37
2019-11-01,30
2019-12-01,68
2020-01-01,37
2020-02-01,33
2020-03-01,34
2020-04-01,45
2020-05-01,77
2020-06-01,75
2020-07-01,56
2020-08-01,41
2020-09-01,62
2020-10-01,63
2020-11-01,61
2020-12-01,100
2021-01-01,54
2021-02-01,89
2021-03-01,72
2021-04-01,87
2021-05-01,63
2021-06-01,56
2021-07-01,92
2021-08-01,57
2021-09-01,88
2021-10-01,75
2021-11-01,59
2021-12-01,67
2022-01-01,53
2022-02-01,70
2022-03-01,80
2022-04-01,63
2022-05-01,54
2022-06-01,61
2022-07-01,42
2022-08-01,63
2022-09-01,55
2022-10-01,37
2022-11-01,46
2022-12-01,60
2023-01-01,43
2023-02-01,57
2023-03-01,56
2023-04-01,65
2023-05-01,61
2023-06-01,74
2023-07-01,67
2023-08-01,62
2023-09-01,46
2023-10-01,44
2023-11-01,62
2023-12-01,76
2024-01-01,43
2024-02-01,53
2024-03-01,52
2024-04-01,68
2024-05-01,55
2024-06-01,56
2024-07-01,57
2024-08-01,56
2024-09-01,58
2024-10-01,54
2024-11-01,63
2024-12-01,68
2025-01-01,45
2025-02-01,48
2025-03-01,52
2025-04-01,67
2025-05-01,51
2025-06-01,62
2025-07-01,54
2025-08-01,54
2025-09-01,58
2025-10-01,55
2025-11-01,50
