,Ella_Sri_Lanka
2014-12-28,39.0
2015-01-04,19.0
2015-01-11,22.0
2015-01-18,31.0
2015-01-25,26.0
2015-02-01,31.0
2015-02-08,31.0
2015-02-15,25.0
2015-02-22,26.0
2015-03-01,19.0
2015-03-08,28.0
2015-03-15,26.0
2015-03-22,28.0
2015-03-29,27.0
2015-04-05,27.0
2015-04-12,18.0
2015-04-19,19.0
2015-04-26,23.0
2015-05-03,19.0
2015-05-10,10.0
2015-05-17,15.0
2015-05-24,13.0
2015-05-31,18.0
2015-06-07,12.0
2015-06-14,13.0
2015-06-21,15.0
2015-06-28,16.0
2015-07-05,23.0
2015-07-12,30.0
2015-07-19,27.0
2015-07-26,26.0
2015-08-02,30.0
2015-08-09,37.0
2015-08-16,31.0
2015-08-23,26.0
2015-08-30,23.0
2015-09-06,27.0
2015-09-13,25.0
2015-09-20,24.0
2015-09-27,19.0
2015-10-04,18.0
2015-10-11,21.0
2015-10-18,16.0
2015-10-25,17.0
2015-11-01,20.0
2015-11-08,20.0
2015-11-15,21.0
2015-11-22,20.0
2015-11-29,25.0
2015-12-06,30.0
2015-12-13,31.0
2015-12-20,45.0
2015-12-27,51.0
2016-01-03,38.0
2016-01-10,36.0
2016-01-17,31.0
2016-01-24,34.0
2016-01-31,42.0
2016-02-07,35.0
2016-02-14,37.0
2016-02-21,30.0
2016-02-28,34.0
2016-03-06,33.0
2016-03-13,34.0
2016-03-20,46.0
2016-03-27,37.0
2016-04-03,34.0
2016-04-10,37.0
2016-04-17,35.0
2016-04-24,26.0
2016-05-01,26.0
2016-05-08,26.0
2016-05-15,28.0
2016-05-22,29.0
2016-05-29,16.0
2016-06-05,14.0
2016-06-12,21.0
2016-06-19,25.0
2016-06-26,20.0
2016-07-03,27.0
2016-07-10,34.0
2016-07-17,38.0
2016-07-24,36.0
2016-07-31,49.0
2016-08-07,44.0
2016-08-14,40.0
2016-08-21,30.0
2016-08-28,34.0
2016-09-04,37.0
2016-09-11,43.0
2016-09-18,26.0
2016-09-25,24.0
2016-10-02,27.0
2016-10-09,40.0
2016-10-16,31.0
2016-10-23,34.0
2016-10-30,34.0
2016-11-06,31.0
2016-11-13,34.0
2016-11-20,36.0
2016-11-27,33.0
2016-12-04,45.0
2016-12-11,43.0
2016-12-18,44.0
2016-12-25,61.0
2017-01-01,70.0
2017-01-08,52.0
2017-01-15,61.0
2017-01-22,56.0
2017-01-29,46.0
2017-02-05,53.0
2017-02-12,61.0
2017-02-19,53.0
2017-02-26,56.0
2017-03-05,40.0
2017-03-12,53.0
2017-03-19,54.0
2017-03-26,43.0
2017-04-02,50.0
2017-04-09,64.0
2017-04-16,52.0
2017-04-23,40.0
2017-04-30,34.0
2017-05-07,34.0
2017-05-14,21.0
2017-05-21,30.0
2017-05-28,21.0
2017-06-04,22.0
2017-06-11,31.0
2017-06-18,23.0
2017-06-25,33.0
2017-07-02,36.0
2017-07-09,50.0
2017-07-16,49.0
2017-07-23,49.0
2017-07-30,62.0
2017-08-06,71.0
2017-08-13,55.0
2017-08-20,58.0
2017-08-27,47.0
2017-09-03,59.0
2017-09-10,52.0
2017-09-17,42.0
2017-09-24,32.0
2017-10-01,38.0
2017-10-08,36.0
2017-10-15,39.0
2017-10-22,35.0
2017-10-29,34.0
2017-11-05,34.0
2017-11-12,35.0
2017-11-19,46.0
2017-11-26,58.0
2017-12-03,42.0
2017-12-10,47.0
2017-12-17,63.0
2017-12-24,76.0
2017-12-31,80.0
2018-01-07,67.0
2018-01-14,59.0
2018-01-21,61.0
2018-01-28,67.0
2018-02-04,73.0
2018-02-11,68.0
2018-02-18,64.0
2018-02-25,66.0
2018-03-04,61.0
2018-03-11,79.0
2018-03-18,62.0
2018-03-25,62.0
2018-04-01,61.0
2018-04-08,62.0
2018-04-15,55.0
2018-04-22,54.0
2018-04-29,52.0
2018-05-06,37.0
2018-05-13,39.0
2018-05-20,29.0
2018-05-27,27.0
2018-06-03,32.0
2018-06-10,44.0
2018-06-17,37.0
2018-06-24,44.0
2018-07-01,55.0
2018-07-08,62.0
2018-07-15,71.0
2018-07-22,71.0
2018-07-29,72.0
2018-08-05,82.0
2018-08-12,80.0
2018-08-19,76.0
2018-08-26,73.0
2018-09-02,63.0
2018-09-09,66.0
2018-09-16,58.0
2018-09-23,54.0
2018-09-30,52.0
2018-10-07,31.0
2018-10-14,47.0
2018-10-21,32.0
2018-10-28,44.0
2018-11-04,52.0
2018-11-11,49.0
2018-11-18,59.0
2018-11-25,50.0
2018-12-02,59.0
2018-12-09,59.0
2018-12-16,76.0
2018-12-23,83.0
2018-12-30,83.0
2019-01-06,80.0
2019-01-13,78.0
2019-01-20,82.0
2019-01-27,90.0
2019-02-03,93.0
2019-02-10,78.0
2019-02-17,70.0
2019-02-24,79.0
2019-03-03,71.0
2019-03-10,71.0
2019-03-17,77.0
2019-03-24,56.0
2019-03-31,64.0
2019-04-07,74.0
2019-04-14,100.0
2019-04-21,46.0
2019-04-28,22.0
2019-05-05,13.0
2019-05-12,21.0
2019-05-19,18.0
2019-05-26,21.0
2019-06-02,19.0
2019-06-09,23.0
2019-06-16,24.0
2019-06-23,18.0
2019-06-30,33.0
2019-07-07,41.0
2019-07-14,49.0
2019-07-21,48.0
2019-07-28,51.0
2019-08-04,69.0
2019-08-11,64.0
2019-08-18,75.0
2019-08-25,54.0
2019-09-01,57.0
2019-09-08,61.0
2019-09-15,47.0
2019-09-22,41.0
2019-09-29,37.0
2019-10-06,36.0
2019-10-13,32.0
2019-10-20,31.0
2019-10-27,31.0
2019-11-03,48.0
2019-11-10,42.0
2019-11-17,40.0
2019-11-24,50.0
2019-12-01,56.0
2019-12-08,40.0
2019-12-15,71.0
2019-12-22,75.0
2019-12-29,74.0
2020-01-05,81.0
2020-01-05,81.0
2020-01-12,73.0
2020-01-19,61.0
2020-01-26,49.0
2020-02-02,69.0
2020-02-09,69.0
2020-02-16,63.0
2020-02-23,66.0
2020-03-01,74.0
2020-03-08,63.0
2020-03-15,26.0
2020-03-22,10.0
2020-03-29,6.0
2020-04-05,10.0
2020-04-12,5.0
2020-04-19,7.0
2020-04-26,9.0
2020-05-03,10.0
2020-05-10,7.0
