,CV_format
2014-12-28,44
2015-01-04,51
2015-01-11,60
2015-01-18,81
2015-01-25,64
2015-02-01,55
2015-02-08,66
2015-02-15,70
2015-02-22,55
2015-03-01,81
2015-03-08,69
2015-03-15,53
2015-03-22,49
2015-03-29,56
2015-04-05,38
2015-04-12,40
2015-04-19,60
2015-04-26,57
2015-05-03,44
2015-05-10,63
2015-05-17,58
2015-05-24,66
2015-05-31,50
2015-06-07,76
2015-06-14,47
2015-06-21,57
2015-06-28,26
2015-07-05,66
2015-07-12,68
2015-07-19,66
2015-07-26,42
2015-08-02,53
2015-08-09,48
2015-08-16,42
2015-08-23,54
2015-08-30,65
2015-09-06,95
2015-09-13,98
2015-09-20,65
2015-09-27,79
2015-10-04,50
2015-10-11,62
2015-10-18,66
2015-10-25,53
2015-11-01,65
2015-11-08,49
2015-11-15,66
2015-11-22,63
2015-11-29,62
2015-12-06,77
2015-12-13,56
2015-12-20,41
2015-12-27,61
2016-01-03,80
2016-01-10,71
2016-01-17,64
2016-01-24,46
2016-01-31,54
2016-02-07,59
2016-02-14,45
2016-02-21,48
2016-02-28,56
2016-03-06,45
2016-03-13,44
2016-03-20,33
2016-03-27,39
2016-04-03,37
2016-04-10,0
2016-04-17,32
2016-04-24,63
2016-05-01,34
2016-05-08,35
2016-05-15,63
2016-05-22,37
2016-05-29,52
2016-06-05,42
2016-06-12,48
2016-06-19,42
2016-06-26,49
2016-07-03,37
2016-07-10,50
2016-07-17,27
2016-07-24,39
2016-07-31,54
2016-08-07,31
2016-08-14,35
2016-08-21,51
2016-08-28,53
2016-09-04,74
2016-09-11,63
2016-09-18,52
2016-09-25,44
2016-10-02,49
2016-10-09,45
2016-10-16,40
2016-10-23,69
2016-10-30,54
2016-11-06,36
2016-11-13,58
2016-11-20,61
2016-11-27,56
2016-12-04,50
2016-12-11,52
2016-12-18,49
2016-12-25,46
2017-01-01,68
2017-01-08,69
2017-01-15,72
2017-01-22,80
2017-01-29,45
2017-02-05,64
2017-02-12,42
2017-02-19,33
2017-02-26,44
2017-03-05,57
2017-03-12,50
2017-03-19,38
2017-03-26,42
2017-04-02,28
2017-04-09,16
2017-04-16,49
2017-04-23,43
2017-04-30,46
2017-05-07,34
2017-05-14,53
2017-05-21,51
2017-05-28,50
2017-06-04,42
2017-06-11,45
2017-06-18,46
2017-06-25,38
2017-07-02,51
2017-07-09,54
2017-07-16,42
2017-07-23,49
2017-07-30,55
2017-08-06,45
2017-08-13,50
2017-08-20,57
2017-08-27,50
2017-09-03,67
2017-09-10,77
2017-09-17,71
2017-09-24,60
2017-10-01,61
2017-10-08,55
2017-10-15,60
2017-10-22,58
2017-10-29,55
2017-11-05,66
2017-11-12,69
2017-11-19,61
2017-11-26,58
2017-12-03,61
2017-12-10,52
2017-12-17,48
2017-12-24,31
2017-12-31,59
2018-01-07,79
2018-01-14,64
2018-01-21,73
2018-01-28,64
2018-02-04,46
2018-02-11,57
2018-02-18,56
2018-02-25,51
2018-03-04,53
2018-03-11,51
2018-03-18,48
2018-03-25,44
2018-04-01,47
2018-04-08,35
2018-04-15,35
2018-04-22,52
2018-04-29,49
2018-05-06,50
2018-05-13,60
2018-05-20,63
2018-05-27,49
2018-06-03,56
2018-06-10,63
2018-06-17,59
2018-06-24,38
2018-07-01,69
2018-07-08,65
2018-07-15,62
2018-07-22,49
2018-07-29,51
2018-08-05,48
2018-08-12,52
2018-08-19,46
2018-08-26,72
2018-09-02,79
2018-09-09,75
2018-09-16,61
2018-09-23,63
2018-09-30,75
2018-10-07,45
2018-10-14,49
2018-10-21,54
2018-10-28,44
2018-11-04,52
2018-11-11,58
2018-11-18,43
2018-11-25,45
2018-12-02,52
2018-12-09,61
2018-12-16,40
2018-12-23,31
2018-12-30,64
2019-01-06,92
2019-01-13,79
2019-01-20,66
2019-01-27,66
2019-02-03,63
2019-02-10,70
2019-02-17,62
2019-02-24,57
2019-03-03,44
2019-03-10,71
2019-03-17,55
2019-03-24,32
2019-03-31,45
2019-04-07,38
2019-04-14,33
2019-04-21,26
2019-04-28,30
2019-05-05,51
2019-05-12,45
2019-05-19,55
2019-05-26,71
2019-06-02,59
2019-06-09,60
2019-06-16,77
2019-06-23,61
2019-06-30,78
2019-07-07,70
2019-07-14,64
2019-07-21,64
2019-07-28,49
2019-08-04,56
2019-08-11,50
2019-08-18,61
2019-08-25,76
2019-09-01,90
2019-09-08,92
2019-09-15,75
2019-09-22,64
2019-09-29,73
2019-10-06,60
2019-10-13,68
2019-10-20,53
2019-10-27,62
2019-11-03,58
2019-11-10,44
2019-11-17,49
2019-11-24,75
2019-12-01,72
2019-12-08,74
2019-12-15,77
2019-12-22,45
2019-12-29,90
2020-01-05,100
