,Colombo_hotel
2014-12-28,79
2015-01-04,48
2015-01-11,60
2015-01-18,74
2015-01-25,56
2015-02-01,57
2015-02-08,66
2015-02-15,60
2015-02-22,59
2015-03-01,50
2015-03-08,58
2015-03-15,53
2015-03-22,61
2015-03-29,52
2015-04-05,61
2015-04-12,51
2015-04-19,58
2015-04-26,47
2015-05-03,71
2015-05-10,44
2015-05-17,61
2015-05-24,56
2015-05-31,61
2015-06-07,58
2015-06-14,50
2015-06-21,58
2015-06-28,56
2015-07-05,52
2015-07-12,52
2015-07-19,64
2015-07-26,58
2015-08-02,70
2015-08-09,71
2015-08-16,56
2015-08-23,74
2015-08-30,66
2015-09-06,63
2015-09-13,68
2015-09-20,68
2015-09-27,59
2015-10-04,60
2015-10-11,53
2015-10-18,56
2015-10-25,62
2015-11-01,52
2015-11-08,67
2015-11-15,62
2015-11-22,57
2015-11-29,65
2015-12-06,72
2015-12-13,73
2015-12-20,79
2015-12-27,84
2016-01-03,67
2016-01-10,59
2016-01-17,59
2016-01-24,60
2016-01-31,61
2016-02-07,56
2016-02-14,68
2016-02-21,56
2016-02-28,55
2016-03-06,63
2016-03-13,58
2016-03-20,61
2016-03-27,58
2016-04-03,54
2016-04-10,57
2016-04-17,52
2016-04-24,55
2016-05-01,58
2016-05-08,57
2016-05-15,43
2016-05-22,50
2016-05-29,55
2016-06-05,62
2016-06-12,54
2016-06-19,51
2016-06-26,45
2016-07-03,63
2016-07-10,65
2016-07-17,62
2016-07-24,58
2016-07-31,55
2016-08-07,62
2016-08-14,53
2016-08-21,47
2016-08-28,56
2016-09-04,56
2016-09-11,51
2016-09-18,48
2016-09-25,48
2016-10-02,50
2016-10-09,61
2016-10-16,58
2016-10-23,55
2016-10-30,53
2016-11-06,53
2016-11-13,51
2016-11-20,60
2016-11-27,55
2016-12-04,61
2016-12-11,54
2016-12-18,75
2016-12-25,81
2017-01-01,60
2017-01-08,74
2017-01-15,77
2017-01-22,67
2017-01-29,66
2017-02-05,59
2017-02-12,58
2017-02-19,57
2017-02-26,56
2017-03-05,55
2017-03-12,57
2017-03-19,57
2017-03-26,55
2017-04-02,57
2017-04-09,54
2017-04-16,67
2017-04-23,58
2017-04-30,59
2017-05-07,47
2017-05-14,65
2017-05-21,67
2017-05-28,47
2017-06-04,57
2017-06-11,63
2017-06-18,63
2017-06-25,59
2017-07-02,55
2017-07-09,60
2017-07-16,67
2017-07-23,62
2017-07-30,66
2017-08-06,74
2017-08-13,74
2017-08-20,60
2017-08-27,67
2017-09-03,62
2017-09-10,68
2017-09-17,52
2017-09-24,68
2017-10-01,64
2017-10-08,57
2017-10-15,60
2017-10-22,60
2017-10-29,62
2017-11-05,62
2017-11-12,81
2017-11-19,78
2017-11-26,78
2017-12-03,77
2017-12-10,82
2017-12-17,89
2017-12-24,85
2017-12-31,84
2018-01-07,100
2018-01-14,83
2018-01-21,72
2018-01-28,78
2018-02-04,69
2018-02-11,73
2018-02-18,72
2018-02-25,69
2018-03-04,66
2018-03-11,71
2018-03-18,62
2018-03-25,68
2018-04-01,65
2018-04-08,67
2018-04-15,72
2018-04-22,76
2018-04-29,61
2018-05-06,79
2018-05-13,71
2018-05-20,70
2018-05-27,80
2018-06-03,74
2018-06-10,68
2018-06-17,77
2018-06-24,76
2018-07-01,78
2018-07-08,78
2018-07-15,84
2018-07-22,80
2018-07-29,81
2018-08-05,91
2018-08-12,93
2018-08-19,89
2018-08-26,73
2018-09-02,72
2018-09-09,79
2018-09-16,79
2018-09-23,66
2018-09-30,55
2018-10-07,67
2018-10-14,67
2018-10-21,70
2018-10-28,73
2018-11-04,70
2018-11-11,65
2018-11-18,71
2018-11-25,69
2018-12-02,74
2018-12-09,78
2018-12-16,90
2018-12-23,93
2018-12-30,98
2019-01-06,83
2019-01-13,80
2019-01-20,78
2019-01-27,87
2019-02-03,81
2019-02-10,81
2019-02-17,78
2019-02-24,73
2019-03-03,72
2019-03-10,61
2019-03-17,69
2019-03-24,64
2019-03-31,67
2019-04-07,73
2019-04-14,73
2019-04-21,83
2019-04-28,41
2019-05-05,46
2019-05-12,45
2019-05-19,53
2019-05-26,50
2019-06-02,44
2019-06-09,57
2019-06-16,43
2019-06-23,57
2019-06-30,57
2019-07-07,54
2019-07-14,67
2019-07-21,56
2019-07-28,53
2019-08-04,71
2019-08-11,73
2019-08-18,83
2019-08-25,88
2019-09-01,83
2019-09-08,77
2019-09-15,68
2019-09-22,74
2019-09-29,68
2019-10-06,68
2019-10-13,70
2019-10-20,72
2019-10-27,71
2019-11-03,84
2019-11-10,69
2019-11-17,72
2019-11-24,70
2019-12-01,78
2019-12-08,78
2019-12-15,93
2019-12-22,91
2019-12-29,91
2020-01-05,82
